"Местное время в Толмачёво / им. А. И. Покрышкина (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"30.12.2018 02:00";"-32.0";"759.7";"771.1";"67";"Ветер, дующий с западо-северо-запада";"2";"";"Дымка, дым";"";"Нет существенной облачности";"2.8";"-36.0";
"30.12.2018 01:00";"-32.0";"760.5";"771.9";"75";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.1";"-35.0";
"30.12.2018 00:30";"-30.0";"760.6";"771.9";"68";"Ветер, дующий с востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"2.9";"-34.0";
"30.12.2018 00:00";"-28.0";"760.7";"771.9";"69";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.2";"-32.0";
"29.12.2018 23:30";"-23.0";"760.9";"771.9";"77";"Переменное направление";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.0";"-26.0";
"29.12.2018 23:00";"-23.0";"761.7";"772.7";"77";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"2.5";"-26.0";
"29.12.2018 22:30";"-25.0";"761.6";"772.7";"83";"Ветер, дующий с востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"2.1";"-27.0";
"29.12.2018 22:00";"-24.0";"761.7";"772.7";"76";"Ветер, дующий с востоко-юго-востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"2.0";"-27.0";
"29.12.2018 21:30";"-25.0";"761.6";"772.7";"76";"Ветер, дующий с востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"2.4";"-28.0";
"29.12.2018 21:00";"-24.0";"762.3";"773.4";"76";"Ветер, дующий с востоко-северо-востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.1";"-27.0";
"29.12.2018 20:30";"-26.0";"762.3";"773.4";"76";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.2";"-29.0";
"29.12.2018 20:00";"-27.0";"762.2";"773.4";"76";"Ветер, дующий с востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"2.9";"-30.0";
"29.12.2018 19:30";"-26.0";"762.3";"773.4";"76";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.2";"-29.0";
"29.12.2018 19:00";"-24.0";"762.3";"773.4";"84";"Ветер, дующий с востоко-северо-востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.4";"-26.0";
"29.12.2018 18:30";"-24.0";"762.3";"773.4";"70";"Ветер, дующий с востока";"1";"";"Дым";"";"Нет существенной облачности";"3.8";"-28.0";
"29.12.2018 18:00";"-24.0";"762.8";"773.9";"70";"Ветер, дующий с востоко-северо-востока";"2";"";"Дым";"";"Нет существенной облачности";"3.8";"-28.0";
"29.12.2018 17:30";"-25.0";"762.8";"773.9";"57";"Ветер, дующий с северо-востока";"1";"";"Дым";"";"Нет существенной облачности";"3.8";"-31.0";
"29.12.2018 17:00";"-26.0";"762.7";"773.9";"63";"Ветер, дующий с северо-востока";"1";"";"Дым";"";"Нет существенной облачности";"3.7";"-31.0";
"29.12.2018 16:30";"-26.0";"762.7";"773.9";"57";"Ветер, дующий с северо-запада";"1";"";"Дым";"";"Нет существенной облачности";"3.8";"-32.0";
"29.12.2018 16:00";"-26.0";"762.7";"773.9";"63";"Ветер, дующий с западо-северо-запада";"2";"";"Дым";"";"Нет существенной облачности";"3.9";"-31.0";
"29.12.2018 15:30";"-27.0";"763.5";"774.7";"63";"Ветер, дующий с юга";"3";"";"Дым";"";"Нет существенной облачности";"4.7";"-32.0";
"29.12.2018 15:00";"-27.0";"763.5";"774.7";"57";"Ветер, дующий с юго-юго-востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"4.7";"-33.0";
"29.12.2018 14:30";"-19.0";"763.8";"774.7";"71";"Ветер, дующий с юго-востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"4.9";"-23.0";
"29.12.2018 14:00";"-28.0";"763.4";"774.7";"75";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"4.8";"-31.0";
"29.12.2018 13:30";"-28.0";"763.4";"774.7";"69";"Переменное направление";"1";"";"Дымка, дым";"";"Нет существенной облачности";"4.4";"-32.0";
"29.12.2018 13:00";"-30.0";"764.1";"775.5";"75";"Ветер, дующий с северо-востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"4.4";"-33.0";
"29.12.2018 12:30";"-29.0";"764.2";"775.5";"75";"Переменное направление";"1";"";"Дымка, дым";"";"Нет существенной облачности";"4.0";"-32.0";
"29.12.2018 12:00";"-29.0";"764.2";"775.5";"68";"Переменное направление";"1";"";"Дымка, дым";"";"Нет существенной облачности";"4.0";"-33.0";
"29.12.2018 11:30";"-30.0";"764.1";"775.5";"75";"Ветер, дующий с востоко-юго-востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"3.0";"-33.0";
"29.12.2018 11:00";"-32.0";"764.1";"775.5";"75";"Ветер, дующий с востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"3.0";"-35.0";
"29.12.2018 10:30";"-33.0";"764.0";"775.5";"67";"Ветер, дующий с востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"2.7";"-37.0";
"29.12.2018 10:00";"-33.0";"764.7";"776.2";"67";"Ветер, дующий с востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"3.6";"-37.0";
"29.12.2018 09:30";"-33.0";"764.7";"776.2";"67";"Ветер, дующий с северо-востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"2.8";"-37.0";
"29.12.2018 09:00";"-30.0";"764.8";"776.2";"68";"Ветер, дующий с юга";"2";"";"Дымка, дым";"";"Нет существенной облачности";"2.9";"-34.0";
"29.12.2018 08:30";"-30.0";"764.8";"776.2";"75";"Ветер, дующий с юго-востока";"3";"";"Дымка, дым";"";"Нет существенной облачности";"2.5";"-33.0";
"29.12.2018 08:00";"-30.0";"764.8";"776.2";"75";"Ветер, дующий с востоко-юго-востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"3.2";"-33.0";
"29.12.2018 07:30";"-33.0";"765.5";"777.0";"67";"Ветер, дующий с востока";"2";"";"Дымка";"";"Нет существенной облачности";"3.5";"-37.0";
"29.12.2018 07:00";"-34.0";"765.4";"777.0";"67";"Ветер, дующий с востока";"2";"";"Дымка";"";"Нет существенной облачности";"4.0";"-38.0";
"29.12.2018 06:30";"-34.0";"765.4";"777.0";"67";"Ветер, дующий с востоко-северо-востока";"1";"";"Дымка";"";"Нет существенной облачности";"3.5";"-38.0";
"29.12.2018 06:00";"-33.0";"765.5";"777.0";"74";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"3.3";"-36.0";
"29.12.2018 05:30";"-34.0";"765.4";"777.0";"67";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"3.0";"-38.0";
"29.12.2018 05:00";"-33.0";"766.2";"777.7";"67";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"3.1";"-37.0";
"29.12.2018 04:30";"-33.0";"766.2";"777.7";"67";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"3.2";"-37.0";
"29.12.2018 04:00";"-34.0";"766.1";"777.7";"74";"Ветер, дующий с запада";"2";"";"Дымка";"";"Нет существенной облачности";"2.5";"-37.0";
"29.12.2018 03:30";"-32.0";"766.2";"777.7";"75";"Ветер, дующий с юго-востока";"2";"";"Дымка";"";"Нет существенной облачности";"2.7";"-35.0";
"29.12.2018 03:00";"-33.0";"767.0";"778.5";"67";"Ветер, дующий с востока";"1";"";"Дымка";"";"Нет существенной облачности";"3.2";"-37.0";
"29.12.2018 02:30";"-34.0";"766.9";"778.5";"67";"Переменное направление";"1";"";"Дымка";"";"Нет существенной облачности";"3.0";"-38.0";
"29.12.2018 02:00";"-34.0";"767.7";"779.3";"67";"Ветер, дующий с западо-северо-запада";"1";"";"Дымка";"";"Нет существенной облачности";"2.6";"-38.0";
"29.12.2018 01:30";"-33.0";"767.7";"779.3";"74";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"2.0";"-36.0";
"29.12.2018 01:00";"-32.0";"767.8";"779.3";"75";"Ветер, дующий с юго-востока";"1";"";"Дымка";"";"Нет существенной облачности";"2.5";"-35.0";
"29.12.2018 00:30";"-33.0";"767.7";"779.3";"74";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"2.7";"-36.0";
"29.12.2018 00:00";"-34.0";"767.7";"779.3";"74";"Ветер, дующий с северо-запада";"1";"";"Дымка";"";"Нет существенной облачности";"2.7";"-37.0";
"28.12.2018 23:30";"-31.0";"767.8";"779.3";"68";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"2.7";"-35.0";
"28.12.2018 23:00";"-32.0";"768.5";"780.0";"75";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.4";"-35.0";
"28.12.2018 22:30";"-34.0";"768.4";"780.0";"74";"Ветер, дующий с северо-северо-запада";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.5";"-37.0";
"28.12.2018 22:00";"-33.0";"768.4";"780.0";"74";"Ветер, дующий с северо-запада";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.1";"-36.0";
"28.12.2018 21:30";"-32.0";"768.5";"780.0";"67";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.2";"-36.0";
"28.12.2018 21:00";"-31.0";"768.5";"780.0";"68";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.0";"-35.0";
"28.12.2018 20:30";"-32.0";"769.3";"780.8";"75";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.3";"-35.0";
"28.12.2018 20:00";"-32.0";"769.3";"780.8";"67";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"2.9";"-36.0";
"28.12.2018 19:30";"-30.0";"769.4";"780.8";"68";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.4";"-34.0";
"28.12.2018 19:00";"-29.0";"769.4";"780.8";"68";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.8";"-33.0";
"28.12.2018 18:30";"-30.0";"770.2";"781.6";"75";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"4.1";"-33.0";
"28.12.2018 18:00";"-31.0";"770.1";"781.6";"68";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.9";"-35.0";
"28.12.2018 17:30";"-30.0";"770.2";"781.6";"68";"Ветер, дующий с западо-северо-запада";"1";"";"Дымка, дым";"";"Нет существенной облачности";"4.0";"-34.0";
"28.12.2018 17:00";"-30.0";"770.2";"781.6";"62";"Ветер, дующий с западо-северо-запада";"1";"";"Дымка, дым";"";"Нет существенной облачности";"4.4";"-35.0";
