Weight,Height
131.135,68.39681
137.2308,68.67559
113.6762,67.25836
135.9751,68.33766
133.9187,68.73641
135.1867,69.74424
119.4333,66.69188
108.1177,62.52876
117.106,65.53571
115.6559,66.18274
117.3108,69.41864
119.7923,67.08846
134.2886,65.80637
147.1002,70.23935
112.1983,65.33009
121.3022,65.74455
126.1829,68.90467
121.7585,69.09536
130.9674,68.01171
120.5844,67.90225
123.8478,67.34009
108.9752,66.46165
134.2032,66.75233
120.1313,70.18221
122.7568,66.7024
128.4038,67.3595
123.6703,69.08157
132.496,70.2507
138.9897,69.6539
139.3765,68.02248
127.1687,69.56277
137.1892,68.46777
124.7676,67.83868
107.7261,65.61422
139.142,69.45527
126.9862,66.28291
129.8583,67.56837
120.9723,70.12988
124.3325,68.93421
126.6826,68.81879
130.4177,65.99333
127.9307,66.81007
124.4599,67.94457
145.451,71.4938
131.2823,65.07798
137.4994,69.62029
139.3524,67.5144
134.8715,68.40947
110.5781,66.00603
123.6727,68.33191
112.5046,67.87778
119.726,68.97539
130.8928,68.35379
139.5173,67.18885
125.7713,64.66663
141.3167,70.8471
123.4676,65.85219
117.2936,65.77447
133.6229,67.52969
137.1679,67.40883
126.2247,66.12206
133.3822,67.61112
128.3061,65.59254
121.0049,66.38916
121.2644,68.18774
112.9015,66.10402
122.4457,67.64821
125.0148,66.43868
117.6413,63.50433
140.1673,67.40581
144.6597,68.88553
109.6336,64.19132
124.6717,64.87451
128.8533,67.55913
143.172,71.62407
121.2207,67.8134
127.9349,67.20623
114.6993,67.80392
130.2931,67.19869
109.7363,67.85377
128.6075,66.70262
142.884,72.60211
120.9967,68.85807
121.9698,69.56765
120.3264,66.10458
132.8096,67.18371
128.7753,71.11644
144.7966,70.62083
120.1358,66.12419
150.6544,68.95687
119.9506,65.39463
134.1303,70.83034
132.4712,68.86758
132.0698,68.49492
149.0804,72.26615
105.5179,65.71143
105.7427,67.46158
114.3532,68.12008
140.5532,69.77291
104.8758,67.17396
149.3951,69.58187
112.4751,64.85647
113.5514,66.92813
116.7548,66.84465
115.7098,66.43222
142.9501,70.39773
112.6102,69.64527
112.1167,67.05199
144.3144,66.43058
127.7941,67.29006
123.5864,67.97572
105.5294,68.42735
131.487,66.59713
130.6901,68.31497
106.985,64.94728
138.3584,68.8079
144.5436,71.29561
110.2896,66.60855
138.6818,71.44829
126.5717,69.38522
138.3463,69.28534
104.3434,67.09518
127.4558,66.14266
122.9376,65.73548
119.2303,68.80922
123.4953,66.25755
118.9634,67.38101
123.4155,65.25753
114.8697,67.71714
125.7726,65.88163
123.9655,65.66446
129.4752,66.97416
114.2066,68.27905
114.2463,66.07261
110.8099,67.56389
116.0348,67.94376
105.3112,64.40307
123.4273,69.2191
140.9132,67.70481
129.0039,65.15201
135.3481,67.30379
114.4659,66.98384
109.06,68.08508
122.3172,64.70474
122.363,66.42674
125.1168,66.91386
114.5379,67.22538
134.8329,70.21976
132.3451,71.3139
116.6307,65.53063
134.8631,69.46173
118.1414,66.22806
124.8956,70.16115
135.25,68.41222
148.0173,69.82319
120.4157,67.17432
129.6002,69.29115
130.5398,67.82581
132.3121,66.40623
124.3289,67.73226
139.6425,69.2642
126.3862,69.89742
112.6904,69.27103
118.9721,70.4306
110.3825,64.2193
121.521,66.07677
124.7791,68.1361
105.3489,64.23356
119.0062,65.91925
138.3937,69.39355
125.8656,67.73392
129.9777,69.48989
132.0128,67.33814
126.8215,66.07833
117.0051,65.98334
124.4335,66.44921
147.0065,69.69715
133.4775,67.12772
129.6103,66.57638
159.4214,68.47646
124.7975,66.73179
145.742,69.19577
124.7159,68.83063
123.54,67.66406
124.2937,65.43432
113.9478,66.14658
128.1522,67.8811
119.9046,68.13498
135.291,67.73894
141.912,65.59068
133.4959,67.95201
135.3263,69.19122
140.1555,69.51645
121.1786,68.74287
123.7826,66.52495
145.0336,69.12783
126.01,67.94469
114.544,66.97412
118.5872,68.3347
125.4137,67.80615
118.6805,68.84585
123.1756,66.41209
112.5476,70.29823
146.1078,69.26533
112.6632,66.6775
134.6615,67.20009
123.5835,66.72465
117.5098,68.44557
124.6579,68.83239
140.3997,69.08936
116.5837,67.16286
132.9801,67.39555
116.9799,66.28334
117.2319,68.24699
113.6457,64.78907
106.108,64.50572
136.8676,70.29401
110.3999,65.22177
123.509,65.86641
99.16114,66.10418
119.6668,68.80487
131.5827,69.24299
110.0727,66.09521
150.4801,71.18037
124.4662,68.1098
134.3146,68.53379
109.2781,63.70189
122.5196,66.46061
127.0227,68.8741
142.6998,66.09188
134.6381,65.6822
126.922,68.95243
122.4413,67.89356
110.5326,64.73622
107.7515,68.01956
128.5874,69.49761
115.544,65.30787
115.9457,70.31537
120.1893,67.79292
114.6297,66.2732
152.5129,68.62718
125.3082,69.24794
127.7298,66.17435
100.4395,68.1089
101.8313,68.11469
139.3387,70.97341
132.6157,69.87424
147.3411,71.52707
129.7181,68.44659
144.0879,66.41665
120.6801,67.10768
138.5631,69.32189
118.9528,68.39004
129.6689,65.45785
137.1995,72.09267
133.6038,67.60688
122.0855,66.92747
116.8609,70.1229
127.5529,69.09843
122.343,67.41743
128.3776,69.45134
105.8868,66.41985
114.4188,65.69863
130.3437,65.31739
122.8058,64.80359
133.896,68.13705
130.9994,70.08693
107.6519,64.03691
118.6397,67.33761
136.2137,71.8434
118.8989,69.1154
90.24255,65.39821
135.8894,65.70757
116.0218,69.66027
133.186,68.84382
101.6976,65.39271
134.6496,70.31722
136.7189,69.19909
100.3062,66.2882
119.4939,66.12228
121.0773,68.15336
122.0805,67.44349
112.3032,66.41455
103.4902,65.35315
137.4465,69.30321
150.4042,67.12751
139.6598,69.30029
123.185,69.11462
129.9973,69.26369
107.3342,66.93177
126.0434,70.80801
135.7989,66.77406
126.4569,65.86587
121.3037,66.72211
116.1346,64.44234
135.2951,69.67413
107.1751,64.92037
133.8608,67.63239
137.8656,68.70454
111.7483,68.82445
113.9161,68.93421
139.3902,70.01339
119.4079,71.44878
126.6312,66.91364
122.169,68.4292
113.4185,68.45391
119.0882,65.33618
147.8657,71.88803
135.2735,68.62216
115.1755,68.10589
129.8366,65.49264
125.7748,66.33612
143.9889,69.07199
131.4778,68.76917
133.2498,68.89473
142.0926,68.77062
125.3459,68.33215
134.167,67.72393
103.0317,65.49304
138.7811,71.06055
120.9324,69.50278
125.2735,68.61663
133.5241,68.54709
157.2972,69.26721
119.6536,70.14424
140.6229,65.9849
108.7205,66.281
126.3947,65.7289
142.3535,70.38391
133.874,67.47381
128.3664,66.16001
120.7005,66.57927
134.1051,69.6185
117.2822,65.77941
125.2725,69.46372
99.99409,63.93234
134.6921,70.09165
98.26427,64.94173
109.3772,68.09547
134.4107,68.83226
128.823,66.96947
124.1525,65.08668
131.3282,69.08362
116.0096,66.0827
110.0584,67.05865
108.0602,68.9081
119.9277,66.81199
118.3217,66.52751
125.118,67.59674
127.8544,68.57752
125.1617,65.15613
136.8899,69.88332
131.4036,67.76589
122.6178,69.48716
118.7286,68.99586
154.9613,71.62687
143.765,68.30079
126.4922,66.99909
127.2396,67.16066
118.3629,68.84511
126.8724,69.77163
111.6843,67.24519
133.6576,67.28553
136.9199,68.62133
143.4605,72.50636
124.3189,71.5681
122.9763,64.55855
130.5148,68.77468
104.1238,65.10069
148.4113,71.21872
108.9173,65.66079
116.527,64.2657
107.0324,68.88757
146.4124,68.44905
155.1755,70.33787
140.4949,71.22339
133.6787,65.94774
128.4836,67.91684
129.7483,65.97902
146.3625,69.27942
126.4504,68.53226
123.6671,71.2069
125.7628,67.2503
131.154,65.30132
127.8638,69.08772
124.9371,66.59265
138.0897,66.49666
162.4844,70.95412
121.217,65.49834
124.5431,69.39388
118.9227,65.27883
134.0552,67.52017
111.6476,68.14598
136.0553,68.81275
114.0947,67.89924
136.6971,69.5175
129.4733,68.07055
149.7435,71.2464
121.0296,68.71642
114.3488,63.99425
126.7524,67.65074
133.1447,66.52185
124.7861,67.39334
150.9437,72.31226
104.7306,68.0661
114.5092,65.20757
137.4822,70.31989
126.6537,66.73391
124.1829,67.2038
136.0664,68.97216
132.6022,67.7248
120.6638,69.56606
148.5846,67.86326
130.78,69.23555
121.5242,63.85084
142.0076,69.77742
133.6365,67.25759
116.6069,64.55164
127.4018,65.91736
137.8456,66.34956
121.7441,62.92407
127.7838,67.15032
131.0676,65.46455
142.3265,70.09519
146.0821,68.66443
110.5523,64.54016
122.3483,66.50297
140.665,70.7413
118.3144,67.63475
102.0506,65.29548
136.8665,67.6782
131.2592,68.11521
109.4461,66.43231
135.255,67.45289
127.982,67.88061
127.3989,65.27546
142.3012,71.80443
119.5403,68.32755
115.9509,68.86515
110.0601,67.11834
122.495,66.53695
110.2815,67.1505
130.5799,68.68724
136.0111,68.22897
132.8507,65.42104
126.2376,67.63027
129.0043,66.9449
127.4057,67.98826
139.1821,69.67882
120.111,66.46151
126.768,66.54514
133.1626,69.65715
114.6626,67.36842
125.2345,67.21698
135.3012,69.12349
115.0436,67.93756
116.7778,68.46766
111.9601,70.4462
125.7248,67.64692
140.2758,67.07315
99.56696,65.37352
116.0859,65.3428
131.435,69.51448
126.1415,69.33945
124.1513,66.86743
126.4611,65.10865
144.6639,72.1849
141.4309,69.02571
112.8743,65.04762
148.6852,69.27824
136.755,69.11397
126.2681,65.39362
103.2442,64.92242
124.8878,68.01742
117.8475,66.84525
115.0964,66.5209
124.4466,67.07104
123.8278,66.20762
131.0723,68.65422
130.5051,67.81484
137.2246,67.97735
105.6563,64.20041
127.05,71.04071
131.2912,71.69734
115.235,67.752
149.9833,69.64704
128.1011,69.3531
136.1453,68.69464
122.6459,67.23085
124.0222,69.33763
128.6403,65.86675
130.2447,68.70414
118.1935,68.64444
118.7838,68.6705
134.949,66.83271
143.3212,68.69297
117.2734,66.51348
132.4379,68.28119
123.72,69.39405
129.8379,67.3979
125.1006,72.86535
138.9031,67.52936
106.0584,64.60023
134.2094,69.98289
127.7615,70.333
115.4439,64.3196
113.672,67.49125
118.8678,67.80629
104.9205,65.30266
133.9088,70.81212
117.0917,68.19915
140.5356,69.13698
144.2746,66.59934
131.9826,70.58075
105.7686,66.90518
115.058,66.74813
119.15,66.83292
151.3173,69.35713
128.2595,68.63272
125.7313,69.12693
128.2475,67.0631
124.2242,67.46642
131.8328,66.60284
135.0549,70.1147
131.9033,70.12917
131.2722,68.76147
150.4834,70.05388
122.3354,68.16839
119.7932,67.51951
132.6718,68.27418
113.9822,67.30217
128.2458,66.31157
121.4094,70.05639
140.4239,70.24768
123.2387,69.86768
112.5828,68.9313
134.9801,67.73389
113.7462,67.93682
130.6895,67.92146
118.4807,70.4633
131.5248,68.16156
144.2511,68.81242
125.4148,70.05484
111.0683,65.61528
124.4918,70.77456
134.5848,68.13409
135.3765,68.87718
114.1814,66.85615
115.6044,65.19143
134.0578,69.53261
135.9541,71.28136
106.9388,66.47317
137.5864,69.85972
120.5673,66.56784
121.0243,64.99896
131.1701,65.5967
119.3086,65.11179
137.4056,72.43607
129.0097,66.27465
118.539,67.6844
129.5048,64.94671
117.7368,66.09981
114.8767,66.84125
127.1033,67.23393
110.3671,67.9501
130.6015,66.34338
152.425,71.54739
133.8311,71.10011
124.965,66.80152
120.9877,71.09075
131.6672,67.42631
135.248,68.87576
118.7798,67.6317
138.9284,65.61406
113.8329,67.09963
119.3325,68.15761
104.9855,67.06521
138.5947,67.00626
133.6759,69.21534
119.6168,65.49959
131.6157,67.12282
129.3183,66.27818
129.3991,68.05092
150.0079,71.21378
128.0218,65.8059
127.8369,69.01341
103.3323,64.38771
132.8358,71.28885
136.4326,68.01059
131.675,67.40277
122.7182,65.86277
141.6413,70.04407
118.2509,64.66349
129.3437,66.20468
142.1927,72.42652
125.1862,68.18756
134.0936,65.09832
123.7487,64.94607
132.8903,68.74582
124.9625,67.48779
94.45359,65.11114
123.1642,68.70291
122.4859,64.81203
128.6184,68.35035
142.8257,72.14415
147.0343,68.23639
121.555,66.90007
145.2393,68.96221
119.8432,69.44312
131.9553,65.04087
126.2769,67.33467
139.7206,70.00111
114.5532,65.86413
121.4799,66.76124
138.031,68.6178
129.3542,66.49285
119.1174,68.45981
125.9209,69.6046
151.8017,71.62721
100.3424,66.56949
115.6658,65.36772
134.8652,71.5466
121.8751,67.9212
127.0172,68.53005
125.542,66.29177
148.1898,70.0892
137.0889,66.45724
124.4345,66.90417
160.8373,71.96531
111.0351,65.79737
135.4855,71.99473
125.1443,67.88118
132.0724,67.9713
124.6627,66.68833
120.4445,69.08259
120.6289,67.7725
127.846,67.54727
122.7172,64.64468
126.2985,69.69364
134.8945,68.70439
120.5405,68.16991
123.6751,68.33163
120.1252,65.19663
147.2327,69.12973
149.5213,66.76336
114.3077,66.10726
118.3486,68.69461
129.3136,69.51345
116.1097,67.15638
118.2619,66.52538
150.4875,71.057
124.4735,69.19665
120.8445,66.76492
121.9168,68.09253
129.862,67.35046
114.1292,68.25237
121.0367,67.66866
116.8308,66.21079
141.5234,70.37472
118.614,67.8132
115.2073,66.42694
114.2983,68.20158
135.0788,68.77079
124.6664,70.60585
129.3895,68.09479
121.5407,64.8915
137.1491,67.12568
129.5848,69.97844
130.9258,67.77866
144.5625,71.39205
144.8993,67.96867
158.5479,72.76728
154.6609,73.38719
135.3784,69.32501
124.0843,66.65826
137.5213,68.63739
126.2247,70.10928
141.12,68.39804
123.4305,72.29783
136.39,70.62523
141.1457,71.44332
133.5107,70.41386
114.7467,64.86518
111.0717,68.80394
138.1768,69.49145
113.5605,66.01854
127.2451,70.48654
125.5152,66.80862
132.6907,70.6607
104.9599,66.68431
132.2702,65.58814
124.7192,66.36507
97.52424,67.09404
109.9676,66.48373
132.1645,68.82707
114.4221,64.69002
113.5284,69.01948
141.7182,69.43111
133.3257,70.07435
121.7781,66.8212
129.9501,68.06909
124.8979,69.6444
121.6822,64.80698
125.3064,67.37179
108.6014,67.39488
118.6916,68.39465
156.2505,68.4231
124.4915,69.41607
120.3149,66.82138
109.5115,65.58027
160.1136,71.02776
141.57,67.8096
136.6575,71.01235
137.7991,67.45353
143.6829,69.77346
111.1404,64.07515
143.9045,68.36516
119.8486,69.40935
104.0047,66.43953
126.6292,69.77091
148.3832,71.29182
119.2626,67.26889
140.521,68.52627
100.0358,63.95467
114.3188,68.27822
129.8548,69.01564
131.6805,68.33275
111.3135,65.91471
119.9587,65.5471
124.6394,66.88448
116.6803,67.50342
148.2762,71.35101
128.9648,66.5912
105.1575,65.14281
128.2402,67.26097
134.0494,68.77974
125.5997,66.92786
154.8632,70.20106
109.4807,68.1684
121.0642,65.9685
139.0479,69.2944
115.8062,68.18398
138.3648,67.3956
127.5045,69.32049
120.5405,66.66937
145.4409,68.62135
135.6144,69.82043
139.2716,68.00272
129.8923,69.35468
147.7932,70.19606
138.2673,69.94747
117.94,69.48896
119.9716,70.48888
115.1262,65.70003
126.8539,69.24694
133.8636,67.30239
135.6532,69.64951
130.4526,65.50558
134.4131,72.17516
140.6611,67.65538
130.0129,69.96429
124.0167,66.61309
136.3044,67.43982
126.0077,63.73814
134.623,68.71436
133.9877,70.77193
141.4066,69.37902
137.57,68.95079
131.0382,68.90363
116.4051,65.21203
117.2372,67.31722
124.1841,64.38819
119.5823,66.35807
131.7982,66.38672
143.8648,66.6684
95.36862,65.19706
117.8366,69.42103
123.079,64.06378
133.6979,68.24753
133.5338,68.89321
141.7325,70.65875
132.7272,66.17187
139.5868,69.79746
149.026,69.39866
117.9616,67.93777
127.81,67.26378
139.9993,67.44849
127.3023,68.57844
116.6239,68.18689
142.336,71.21952
123.3451,69.32096
110.7946,65.65913
143.1529,70.37
131.5436,64.79003
97.29027,65.92313
128.011,66.73192
111.9967,65.40144
121.5899,66.71355
120.2156,65.52829
127.4346,68.39107
131.3958,69.32446
144.5579,73.19305
116.6268,68.08406
122.5793,70.00156
117.6249,70.67706
134.1497,66.43552
133.4111,68.10398
126.462,70.03197
114.9612,64.56491
132.7568,68.39336
127.074,68.0955
137.4863,66.25512
113.9223,67.61981
130.6669,67.10991
122.2908,68.30287
126.1234,70.05068
132.2541,67.69089
122.9495,69.26578
131.7416,70.84848
133.1617,67.14127
121.3197,65.6565
120.8734,67.91043
130.1516,66.40429
126.7042,67.17903
136.9425,65.97607
114.3685,66.04298
153.2031,71.71449
125.3156,66.09004
137.1149,68.28237
127.2959,69.2815
113.9716,65.76268
122.2353,66.98438
131.5253,65.6529
138.3287,68.95828
119.6475,68.66489
134.2575,63.28472
145.5026,69.3378
129.4421,68.23957
111.7014,67.91304
133.5217,66.16765
115.6811,67.31495
118.4895,66.97137
124.801,65.80597
118.5487,66.79723
115.9726,65.12057
123.2907,66.84355
110.792,68.38863
138.8422,68.68709
129.4179,71.59953
137.7368,68.32022
108.7164,68.31
122.2851,66.47004
130.3549,68.12458
138.3812,72.0858
114.476,68.82191
113.8546,66.5675
131.3116,70.19345
142.0522,68.39855
132.4932,68.23971
137.2813,71.56445
137.9349,68.85791
133.3018,70.46101
119.5517,68.19618
123.2255,67.34632
119.1006,67.57452
137.8164,70.49071
133.1503,69.00788
120.7711,69.18618
134.9563,69.27963
132.4946,68.30928
112.2776,69.85509
154.8623,66.99205
132.5996,68.83483
